Latitude,Longitude,@id,operator,telecom,level,operator:wikidata,ref,description,addr:housenumber,addr:city,addr:postcode,addr:street,name,website,contact:city,contact:housenumber,contact:postcode,contact:street,@relations,building,source,description:en,opening_hours,phone,office,data_center:power,alt_name,old_name,operator:wikipedia,wikidata,check_date,name:en
43.620264,1.4223,,,,,,,,,,,,Cogent Toulouse,,,,,,,,,,,,,,,,,,,
47.432344,0.686468,,,,,,,,,,,,Cogent Tours,,,,,,,,,,,,,,,,,,,
45.7588426,4.8675607,node/6121906640,,data_center,,,,data center,,,,,Colt Lyon,,,,,,,,,,,,,,,,,,,
48.8352252,2.3981101,node/6121873072,,data_center,,,,data center,,,,,Colt Paris 1,,Paris,60,75012,Rue de Wattignies,,,,,,,,,,,,,,
48.8972718,2.3221778,node/6121864803,,data_center,,,,,63,Paris,75017,Boulevard Bessières,Colt Paris 2,,,,,,,,,,,,,,,,,,,
50.614781,3.103423,,,,,,,,,,,,Comarch Data Center,,,,,,,,,,,,,,,,,,,
43.9119115,2.0557948,node/11691867437,Crypteo,data_center,,,,,,,,,Crypteo,https://www.crypteo.com/,,,,,,,,,,,,,,,,,,
48.4413007,-4.4154696,node/7902526435,Bluecom,data_center,,,,,105,,,Rue Charles Nungesser,Data Center Bluecom,,,,,,,,,,,,,,,,,,,
45.833225,3.136961,,,,,,,,,,,,Data center free,,,,,,,,,,,,,,,,,,,
48.648477,2.230697,,,,,,,,,,,,Data4 Campus Paris Saclay,,,,,,,,,,,,,,,,,,,
48.650228,2.22751,,,,,,,,,,,,Data4 Marcoussis,,,,,,,,,,,,,,,,,,,
48.664267,2.208413,,,,,,,,,,,,DATA4 Paris Marcoussis PAR2,,,,,,,,,,,,,,,,,,,
48.819937,2.393401,node/7900883632,Aqua Ray,data_center,,,,,14,Ivry-sur-Seine,94800,Rue Jules Vanzuppe,Datacenter Aqua Ray,https://aquaray.com,,,,,,,,,,,,,,,,,,
45.157611,1.509215,,,,,,,,,,,,Datacenter ArteOne,,,,,,,,,,,,,,,,,,,
48.90923,2.396908,,,,,,,,,,,,Datacenter Atos,,,,,,,,,,,,,,,,,,,
48.841475,2.624788,,,,,,,,,,,,Datacenter Banque de France,,,,,,,,,,,,,,,,,,,
48.838834,2.787952,,,,,,,,,,,,Datacenter Banque de France,,,,,,,,,,,,,,,,,,,
