annee;code_iris;nom_iris;numero_de_voie;indice_de_repetition;type_de_voie;libelle_de_voie;adresse;nombre_de_sites;consommation_annuelle_totale_de_ladresse_mwh;code_grand_secteur;code_categorie_consommation;code_secteur_naf2;code_commune;nom_commune;code_epci;code_departement;code_region;tri_des_adresses
2022;730070000;Aiton (commune non irisée);;;;S O R T I E   2 4;S O R T I E 2 4;1;11.701;TERTIAIRE;ENT;61;73007;Aiton;247300676;73;84;2491
2024;730070000;Aiton (commune non irisée);;;;SORTIE 24;SORTIE 24;1;14.63;TERTIAIRE;ENT;61;73007;Aiton;247300676;73;84;2500
2021;260040000;Alixan (commune non irisée);5;;AVENUE;DE LA GARE;5 AVENUE DE LA GARE;1;510.729;TERTIAIRE;ENT;61;26004;Alixan;200068781;26;84;2521
2023;13001xxxx;Fictif - Aix-en-Provence;;;;CHEMIN DU GRAND CABRIES;CHEMIN DU GRAND CABRIES;1;147.692;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;2683
2024;13001xxxx;Fictif - Aix-en-Provence;;;;CHEMIN DU GRAND CABRIES;CHEMIN DU GRAND CABRIES;1;162.194;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;2701
2021;680040102;Ouest;6;;AVENUE;DU MARECHAL FOCH;6 AVENUE DU MARECHAL FOCH;1;141.262;TERTIAIRE;ENT;61;68004;Altkirch;200066041;68;44;2712
2022;13001xxxx;Fictif - Aix-en-Provence;;;;CHEMIN DU GRAND CABRIES;CHEMIN DU GRAND CABRIES;1;156.445;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;2809
2023;130010908;Arbois Partie Est;;;CHEMIN;DE LA PIOLINE;CHEMIN DE LA PIOLINE;1;14.637;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;2907
2024;130010908;Arbois Partie Est;;;CHEMIN;DE LA PIOLINE;CHEMIN DE LA PIOLINE;1;5.609;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;2934
2021;630030102;Sud;36;;AVENUE;DE LYON;36 AVENUE DE LYON;1;146.465;TERTIAIRE;ENT;61;63003;Ambert;200070761;63;84;2977
2022;130010908;Arbois Partie Est;;;CHEMIN;DE LA PIOLINE;CHEMIN DE LA PIOLINE;1;15.788;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3004
2023;130010701;Jas 6;;;IMPASSE;DES FRERES PRATESI;IMPASSE DES FRERES PRATESI;1;1242.121;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3047
2023;130010906;Z.I. Les Milles;;;ALLEES;DES INGENIEURS;ALLEES DES INGENIEURS;1;113.981;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3056
2024;130010701;Jas 6;;;IMPASSE;DES FRERES PRATESI;IMPASSE DES FRERES PRATESI;1;1118.163;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3063
2024;130010906;Z.I. Les Milles;;;ALLEES;DES INGENIEURS;ALLEES DES INGENIEURS;1;93.481;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3072
2023;130010901;Pont de l'Arc-La Parade;405;;CHEMIN;DES PIBOULES;405 CHEMIN DES PIBOULES;5;378.741;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3100
2024;130010901;Pont de l'Arc-La Parade;405;;CHEMIN;DES PIBOULES;405 CHEMIN DES PIBOULES;5;401.199;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3119
2024;130010901;Pont de l'Arc-La Parade;;;CHEMIN;DES PIBOULES;CHEMIN DES PIBOULES;1;9.585;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3122
2022;130010701;Jas 6;;;IMPASSE;DES FRERES PRATESI;IMPASSE DES FRERES PRATESI;1;1325.089;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3123
2023;130010906;Z.I. Les Milles;;;;DOMAINE ST HILAIRE;DOMAINE ST HILAIRE;1;105.821;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3127
2024;130010906;Z.I. Les Milles;;;;DOMAINE ST HILAIRE;DOMAINE ST HILAIRE;1;93.221;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3156
2022;130010901;Pont de l'Arc-La Parade;405;;CHEMIN;DES PIBOULES;405 CHEMIN DES PIBOULES;5;429.667;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3170
2023;130010907;Arbois Partie Ouest;;;RUE;DU DOCTEUR AYNAUD;RUE DU DOCTEUR AYNAUD;1;35.395;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3178
2022;130010906;Z.I. Les Milles;;;;DOMAINE ST HILAIRE;DOMAINE ST HILAIRE;1;89.558;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3189
2024;130010901;Pont de l'Arc-La Parade;389;;AVENUE;DU CLUB HIPPIQUE;389 AVENUE DU CLUB HIPPIQUE;3;626.246;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3195
2024;130010907;Arbois Partie Ouest;;;RUE;DU DOCTEUR AYNAUD;RUE DU DOCTEUR AYNAUD;1;31.462;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3205
2022;130010907;Arbois Partie Ouest;;;RUE;DU DOCTEUR AYNAUD;RUE DU DOCTEUR AYNAUD;1;37.34;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3230
2023;130010907;Arbois Partie Ouest;;;ROUTE;DU PETIT MOULIN;ROUTE DU PETIT MOULIN;1;23.344;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3233
